indicator,winning_source,reason
AIR_POL,wellbeing,present in both the well-being and source files; well-being version is the published headline series
BB_ACC,wellbeing,present in both the well-being and source files; well-being version is the published headline series
HOMIC_RA,wellbeing,present in both the well-being and source files; well-being version is the published headline series
ROOMS_PC,wellbeing,present in both the well-being and source files; well-being version is the published headline series
